Civil_Status,Age,Children,Education_Level,Income,Total_Purchase,Wines,Fruits,Meat,Fish,Vegetables,Bread,Purchase_with_discounts,Online_Purchase,Store_Purchase,Web_visit
Married,43,3,Bachelors,28442,57,19,3,10,11,8,6,3,2,4,4
Married,43,2,Postgraduate,37717,25,9,0,6,4,1,5,1,1,2,9
Married,54,3,Bachelors,51479,494,247,8,160,6,8,65,7,6,6,7
Divorced_Widowed,52,1,Bachelors,54803,693,404,0,92,28,27,142,2,6,9,4
Married,61,1,Bachelors,79530,1348,333,0,815,129,42,29,1,4,11,2
Divorced_Widowed,45,1,Bachelors,31615,51,2,3,20,6,11,9,2,2,3,7
Married,59,1,Bachelors,72025,1932,833,33,549,151,133,233,1,4,8,3
Divorced_Widowed,46,1,Postgraduate,52614,990,789,0,142,12,9,38,2,2,8,8
Married,37,2,High School,35684,30,10,4,7,0,6,3,1,1,3,6
Married,46,3,Bachelors,48178,254,159,4,45,6,2,38,6,5,4,8
Divorced_Widowed,51,1,Postgraduate,29548,29,7,1,6,3,1,11,1,1,2,4
Divorced_Widowed,55,1,Bachelors,63810,1371,977,12,253,16,12,101,4,4,12,8
Divorced_Widowed,49,2,Postgraduate,38578,73,38,4,22,3,3,3,3,3,3,8
Divorced_Widowed,46,2,Postgraduate,46098,120,57,0,27,0,0,36,4,3,2,8
Single,51,0,Bachelors,22585,81,3,9,15,13,2,39,1,1,2,9
Divorced_Widowed,32,1,Bachelors,30279,37,10,4,14,4,4,1,1,1,3,8
Married,60,2,Postgraduate,66426,1377,1043,24,97,32,24,157,2,3,10,6
Divorced_Widowed,52,1,Bachelors,30822,51,3,9,13,2,12,12,1,1,3,7
Married,52,3,Postgraduate,33581,17,11,0,5,0,0,1,1,1,2,8
Married,36,2,Bachelors,19986,22,3,6,5,0,2,6,1,0,3,7
Single,67,0,Bachelors,27421,324,43,12,96,78,40,55,3,4,6,7
Married,48,4,High School,35688,211,73,3,90,12,1,32,7,4,4,8
Divorced_Widowed,40,1,Postgraduate,36143,19,12,0,1,0,0,6,1,0,2,3
Divorced_Widowed,50,1,Bachelors,10245,41,4,7,7,6,4,13,3,1,2,5
Married,53,2,Postgraduate,43795,492,314,11,53,4,3,107,3,7,4,7
Married,61,2,Bachelors,63381,1005,571,50,142,33,50,159,4,4,13,2
Married,72,2,Bachelors,38823,114,70,0,11,2,8,23,1,2,3,6
Divorced_Widowed,53,2,Postgraduate,83664,1173,866,21,151,28,21,86,3,2,12,5
Married,42,1,Bachelors,90300,1738,594,134,786,33,134,57,0,5,8,1
Married,42,2,Postgraduate,62499,222,140,4,61,0,13,4,2,3,6,4
Single,28,0,Bachelors,74293,1127,375,152,335,93,91,81,1,5,6,2
Married,75,1,Postgraduate,51012,209,102,9,63,2,9,24,1,4,4,6
Married,53,2,Postgraduate,70777,787,554,35,113,0,7,78,3,5,12,3
Married,30,1,Postgraduate,68682,1598,919,0,505,99,30,45,1,4,10,2
Married,50,3,Bachelors,43824,186,96,1,42,12,3,32,4,3,4,8
Married,37,2,Bachelors,15345,47,5,2,16,3,2,19,2,1,2,8
Divorced_Widowed,34,1,Bachelors,23442,27,2,0,6,8,6,5,1,1,3,7
Married,41,2,High School,14515,96,6,4,9,6,36,35,4,2,3,7
Divorced_Widowed,65,2,High School,31395,64,23,1,25,0,8,7,4,2,3,6
Married,56,1,Bachelors,75276,1040,610,105,125,137,42,21,1,9,9,5
Divorced_Widowed,47,2,Bachelors,42373,163,67,5,61,3,8,19,5,2,5,5
Married,61,1,Bachelors,30507,343,65,36,74,38,20,110,1,5,4,7
Divorced_Widowed,66,3,Postgraduate,55521,446,416,0,26,0,0,4,9,6,6,7
Married,56,3,Bachelors,48006,41,23,0,11,3,2,2,1,1,3,6
Divorced_Widowed,49,1,Postgraduate,27213,70,19,3,26,10,9,3,3,2,4,8
Divorced_Widowed,50,2,Postgraduate,65808,272,155,7,80,13,7,10,3,5,5,6
Married,47,2,Postgraduate,30351,46,14,0,24,3,3,2,1,3,2,9
Married,58,3,Bachelors,50437,490,370,9,92,6,9,4,3,7,8,7
Divorced_Widowed,39,1,High School,23616,79,4,22,11,3,7,32,2,3,3,8
Married,45,2,Bachelors,53858,915,407,53,221,58,150,26,4,4,6,4
Married,66,2,Postgraduate,66465,1485,1200,0,204,38,29,14,3,11,12,6
Divorced_Widowed,34,1,Bachelors,46923,369,85,44,54,102,78,6,3,5,7,7
Married,59,2,Bachelors,75072,1073,583,34,309,0,22,125,2,5,8,3
Married,78,1,Postgraduate,75865,1242,483,0,591,156,0,12,1,3,10,1
Married,46,2,High School,19789,78,2,5,9,28,6,28,3,2,3,5
Married,27,1,Bachelors,80134,1378,966,26,282,52,26,26,1,2,11,5
Single,40,0,Bachelors,91065,1474,822,114,108,179,137,114,1,7,9,3
Married,50,3,Postgraduate,49505,751,604,0,100,19,0,28,9,10,8,8
Married,48,2,Postgraduate,37401,48,19,3,19,3,1,3,2,2,3,7
Married,38,2,Bachelors,30096,45,5,3,11,12,5,9,1,2,3,6
Married,39,2,Postgraduate,18492,10,2,2,2,2,1,1,1,1,2,8
Married,47,1,Postgraduate,82584,1435,1076,68,103,29,91,68,1,3,8,1
Married,80,1,Postgraduate,93027,2119,1285,42,716,55,0,21,0,7,5,2
Married,68,4,Bachelors,48686,20,10,0,7,2,0,1,1,1,2,8
Married,35,1,Bachelors,92910,1795,551,137,792,179,103,33,1,6,13,1
Married,32,2,Bachelors,75433,1188,800,0,297,0,34,57,2,2,10,6
Married,32,2,High School,10404,43,2,2,11,10,6,12,2,1,4,5
Married,53,2,Bachelors,61314,1008,378,0,189,97,172,172,2,5,12,3
Single,60,0,Postgraduate,84865,1688,1248,16,349,43,16,16,1,2,9,4
Married,32,2,Bachelors,42387,684,235,0,235,19,4,191,5,8,7,8
Married,54,3,High School,67309,1082,515,47,181,149,95,95,15,9,9,7
Married,57,2,Bachelors,75236,1068,438,66,400,12,38,114,1,8,13,4
Divorced_Widowed,51,1,Bachelors,30015,57,25,0,22,2,3,5,2,1,4,5
Married,65,2,Postgraduate,50943,46,31,0,7,2,0,6,1,1,3,5
Divorced_Widowed,55,1,Bachelors,67272,733,357,35,271,28,28,14,3,6,12,5
Divorced_Widowed,72,1,Postgraduate,51529,467,400,4,35,6,0,22,2,9,5,8
Married,50,2,Postgraduate,32011,122,99,0,15,2,1,5,3,2,4,7
Married,35,2,High School,7500,36,1,11,5,4,6,9,2,2,3,8
Married,32,2,Bachelors,28691,34,5,4,13,8,0,4,1,1,3,8
Married,73,2,Postgraduate,56223,156,77,28,31,16,0,4,2,2,5,4
Married,75,1,Bachelors,18100,14,3,1,2,4,3,1,1,0,3,5
Divorced_Widowed,32,1,Bachelors,30279,37,10,4,14,4,4,1,1,1,3,8
Married,47,1,High School,20130,34,0,6,3,7,6,12,1,1,3,8
Single,62,0,Bachelors,23295,20,0,0,1,2,12,5,1,1,2,8
Divorced_Widowed,49,1,Postgraduate,42618,192,76,14,74,13,5,10,2,5,4,8
Single,57,0,Bachelors,81246,1379,398,190,537,61,156,37,1,4,7,1
Married,45,2,Bachelors,24027,48,14,7,11,11,0,5,2,2,3,8
Married,68,2,Postgraduate,55707,428,208,7,82,30,66,35,2,3,9,3
Divorced_Widowed,66,1,Bachelors,57959,868,430,16,322,43,24,33,5,4,11,3
Married,52,2,Bachelors,56796,1001,656,38,161,62,47,37,3,8,7,7
Divorced_Widowed,50,1,Postgraduate,36230,59,14,2,30,8,2,3,1,2,4,5
Married,41,3,High School,70829,431,141,70,106,72,19,23,2,4,8,3
Married,45,2,Bachelors,65991,971,507,19,364,25,47,9,3,9,10,7
Married,49,4,Bachelors,38988,348,164,24,103,12,3,42,7,5,6,8
Single,55,0,High School,89572,2059,606,24,974,197,194,64,1,7,9,4
Married,37,2,Postgraduate,42207,265,116,11,72,3,17,46,4,4,5,6
Married,69,2,Bachelors,50300,270,143,15,60,24,23,5,2,2,8,2
Married,39,1,High School,66664,1289,398,96,447,220,96,32,1,5,6,3
Married,57,2,Bachelors,60597,893,522,0,257,32,16,66,4,2,8,7
Single,72,0,Bachelors,70165,926,161,0,253,199,191,122,1,3,11,1
Divorced_Widowed,63,1,Postgraduate,50520,135,112,0,6,2,1,14,2,3,3,6
Married,58,1,Bachelors,80124,1495,483,84,398,205,84,241,1,3,8,1
Married,46,2,Bachelors,33183,120,7,5,39,17,15,37,2,4,3,7
Single,52,0,Postgraduate,66582,1288,789,25,420,16,38,0,1,2,9,1
Married,66,1,Postgraduate,75261,1743,1239,17,413,23,34,17,1,5,5,2
Divorced_Widowed,51,1,Bachelors,31880,15,4,1,5,2,0,3,1,1,2,8
Married,70,3,Bachelors,53790,542,335,42,127,28,5,5,3,7,8,6
Married,50,2,Postgraduate,49269,890,639,8,166,11,8,58,3,7,12,7
Married,46,2,Bachelors,61456,1388,563,76,384,84,192,89,4,6,13,4
Married,41,2,Bachelors,37406,17,2,0,8,2,2,3,1,1,2,8
Married,40,2,Postgraduate,56937,906,746,8,125,11,8,8,7,8,9,6
Married,43,3,Bachelors,38415,44,22,1,13,4,0,4,2,1,3,7
Divorced_Widowed,33,1,Bachelors,20518,25,4,1,6,4,1,9,1,1,2,5
Married,65,2,Bachelors,62503,973,478,0,193,110,75,117,4,8,11,5
Divorced_Widowed,49,2,Postgraduate,41644,31,20,3,4,2,0,2,2,1,3,3
Married,44,2,Postgraduate,55842,518,451,0,39,0,4,24,1,7,8,5
Married,49,2,Postgraduate,62010,530,371,22,39,6,0,92,4,6,7,5
Married,44,2,Bachelors,41124,506,281,7,84,15,0,119,7,7,4,8
Married,48,2,Postgraduate,38961,70,19,7,19,0,1,24,1,2,2,7
Divorced_Widowed,49,1,Postgraduate,37760,54,26,3,13,2,10,0,1,2,3,6
Divorced_Widowed,47,1,Bachelors,32233,296,138,15,35,25,11,72,2,6,2,9
Married,46,2,Bachelors,43057,266,213,2,44,0,2,5,4,4,5,5
Married,61,1,Postgraduate,83151,747,407,28,100,120,74,18,1,5,4,3
Single,57,0,Postgraduate,78825,895,483,74,114,169,37,18,1,5,13,3
Married,45,2,Postgraduate,65104,1053,738,0,232,13,20,50,2,3,7,7
Married,47,2,Bachelors,60093,735,502,12,109,16,6,90,2,7,10,6
Married,52,2,Bachelors,14045,20,11,0,5,2,1,1,1,1,3,7
Single,69,0,High School,28457,205,24,1,108,29,29,14,1,4,4,8
Married,63,2,Postgraduate,78952,2092,1170,19,594,99,76,134,2,2,12,6
Divorced_Widowed,45,1,Bachelors,46310,309,185,2,88,15,5,14,2,6,5,8
Married,66,1,Bachelors,76005,1722,983,20,389,240,50,40,1,3,13,6
Divorced_Widowed,57,1,Postgraduate,58308,900,691,0,69,10,0,130,4,2,3,8
Single,77,0,Postgraduate,55614,682,504,13,131,8,0,26,1,9,6,7
Divorced_Widowed,59,1,Postgraduate,59432,663,317,25,265,25,19,12,3,5,11,5
Divorced_Widowed,43,1,Bachelors,55563,43,29,1,9,2,0,2,1,2,3,3
Married,50,2,Postgraduate,78642,1816,1396,0,322,46,35,17,1,4,4,6
Married,72,2,Postgraduate,67911,976,529,0,356,63,28,0,3,6,11,3
Married,77,1,Bachelors,65275,746,388,14,218,91,14,21,1,4,13,2
Married,71,3,Bachelors,27203,64,13,2,21,4,0,24,2,1,2,8
Married,60,2,Postgraduate,48330,32,28,0,4,0,0,0,1,1,3,5
Married,31,1,High School,24279,263,16,36,21,20,62,108,1,4,3,8
Married,36,2,Postgraduate,64355,1445,1047,0,140,67,38,153,2,4,12,8
Married,65,2,Postgraduate,50943,46,31,0,7,2,0,6,1,1,3,5
Single,68,0,Bachelors,53653,1210,815,10,239,28,10,108,2,10,12,6
Married,45,2,Bachelors,65665,945,225,162,387,106,36,29,1,5,8,3
Single,32,0,Bachelors,81217,1157,493,70,324,146,40,84,1,3,11,1
Married,29,1,Bachelors,34935,137,34,4,66,3,10,20,1,2,4,7
Divorced_Widowed,62,1,Bachelors,61250,730,382,138,65,60,26,59,6,5,12,5
Married,40,2,Postgraduate,39665,216,127,1,56,0,1,31,3,4,3,7
Divorced_Widowed,42,1,Bachelors,60152,943,325,83,300,86,58,91,1,6,12,3
Married,57,3,Bachelors,48920,347,238,17,68,8,10,6,3,6,5,7
Married,62,1,Postgraduate,89120,1924,1168,92,408,72,129,55,1,5,7,1
Married,75,2,Postgraduate,44124,397,284,0,55,0,6,52,4,6,5,8
Single,46,0,Postgraduate,81169,2089,1288,20,613,80,61,27,1,5,9,2
Married,60,3,Bachelors,36443,138,65,0,46,4,3,20,4,3,3,8
Divorced_Widowed,31,1,Bachelors,26095,42,11,7,9,3,1,11,1,1,3,7
Married,62,1,Bachelors,71367,777,227,23,389,42,21,75,1,4,7,2
Married,77,1,Postgraduate,80184,1902,1035,134,670,25,38,0,1,6,10,3
Divorced_Widowed,56,2,Bachelors,30630,52,27,1,12,2,0,10,2,2,3,7
Single,34,0,Postgraduate,73454,1651,982,73,351,56,14,175,1,2,6,5
Married,30,1,Bachelors,42691,358,179,2,64,38,17,58,1,5,6,5
Married,68,1,Bachelors,70503,1727,1379,33,216,0,33,66,1,2,9,6
Married,34,2,Bachelors,25545,210,32,1,64,16,12,85,3,2,3,6
Married,35,2,Bachelors,32880,42,8,4,15,7,6,2,1,1,3,8
Married,63,1,Postgraduate,77863,1291,881,38,319,16,25,12,1,4,10,2
Married,44,1,Postgraduate,50353,442,141,15,153,67,31,35,1,4,6,3
Single,57,0,Bachelors,61839,1895,1000,155,379,224,17,120,1,4,4,8
Married,61,3,Postgraduate,49154,411,206,10,67,30,27,71,6,4,8,6
Divorced_Widowed,46,1,High School,47682,521,162,61,83,97,57,61,4,4,8,5
Divorced_Widowed,52,1,Bachelors,72679,1168,619,54,260,127,54,54,1,4,5,1
Married,44,3,Postgraduate,57954,493,456,4,24,0,0,9,7,8,6,7
Married,59,3,Bachelors,65316,260,112,6,92,3,9,38,2,3,5,4
Divorced_Widowed,39,1,Bachelors,28567,46,11,3,22,2,2,6,2,2,3,6
Married,70,2,Postgraduate,47352,319,172,12,112,8,0,15,4,6,5,7
Married,54,2,Bachelors,44931,96,78,0,11,0,0,7,1,2,3,5
Single,54,0,Bachelors,76982,1062,464,151,292,65,60,30,1,8,4,4
Married,69,2,High School,57247,232,99,4,32,37,54,6,2,2,7,2
Divorced_Widowed,40,1,Postgraduate,22944,76,19,3,19,4,5,26,3,3,3,7
Married,44,2,High School,25315,54,1,9,8,11,3,22,3,3,3,8
Divorced_Widowed,52,1,Bachelors,43638,201,63,10,83,7,19,19,2,4,4,7
Divorced_Widowed,37,1,Postgraduate,42710,406,252,3,42,4,3,102,2,4,3,6
Married,39,1,Postgraduate,84169,1919,1478,19,403,0,19,0,1,7,6,3
Married,45,2,Bachelors,54058,662,198,18,252,32,108,54,2,4,8,3
Married,31,2,High School,24683,41,8,4,10,6,7,6,2,2,4,5
Single,57,0,Bachelors,85620,1600,416,46,925,60,107,46,1,3,4,1
Married,41,2,Bachelors,47850,134,42,7,43,20,12,10,1,3,4,6
Married,53,3,Bachelors,19514,69,14,3,21,2,1,28,4,3,2,8
Married,48,3,Postgraduate,27159,21,17,0,3,0,0,1,2,1,3,6
Divorced_Widowed,58,2,High School,39548,54,15,4,10,3,4,18,2,1,3,3
Divorced_Widowed,32,1,Bachelors,21474,91,6,16,24,11,0,34,2,3,2,7
Divorced_Widowed,50,1,Postgraduate,60504,526,458,0,24,6,4,34,2,6,8,6
Married,58,1,Bachelors,22419,162,30,3,47,19,21,42,1,3,2,8
Married,72,1,Postgraduate,81698,1008,179,28,520,111,123,47,1,3,13,1
Married,69,3,Bachelors,43462,240,90,17,97,15,6,15,6,4,5,8
Divorced_Widowed,43,1,Postgraduate,54880,795,308,85,137,102,45,118,2,6,11,5
Married,39,1,Bachelors,79908,1772,557,129,761,29,185,111,1,5,7,2
Married,51,1,High School,15315,64,7,4,13,15,8,17,2,2,4,5
Married,62,2,Bachelors,87771,1957,1492,38,287,50,57,33,1,5,4,6
Married,43,2,Bachelors,33039,78,30,8,12,8,8,12,1,2,4,5
Single,41,0,Bachelors,81741,1572,249,153,940,58,134,38,0,6,7,2
Married,50,2,Postgraduate,71499,795,465,25,132,136,0,37,2,8,13,4
Married,51,2,High School,62466,889,129,129,259,168,121,83,5,6,12,4
Divorced_Widowed,58,1,Postgraduate,48799,331,174,18,81,28,6,24,3,3,7,3
Married,71,2,Postgraduate,52157,265,189,2,29,3,2,40,2,3,5,4
Divorced_Widowed,59,1,Bachelors,66565,1065,747,10,161,65,40,42,4,4,9,8
Married,70,3,Postgraduate,29298,11,6,0,2,2,0,1,1,1,2,5
Divorced_Widowed,42,1,Bachelors,47691,21,14,0,3,0,0,4,1,1,2,6
Married,51,3,Bachelors,38200,17,12,0,4,0,0,1,1,1,2,7
Married,47,2,Bachelors,44989,369,98,0,106,49,10,106,5,5,5,6
Married,53,3,Postgraduate,38443,38,32,0,5,0,0,1,2,1,3,7
Divorced_Widowed,43,1,High School,38593,177,51,12,49,17,24,24,3,4,3,8
Married,51,2,Postgraduate,64413,279,200,5,44,0,10,20,1,5,5,5
Married,40,2,Postgraduate,36959,62,25,6,25,6,0,0,2,2,3,8
Married,44,2,Postgraduate,61996,1230,1050,12,144,0,0,24,3,6,8,5
Married,53,3,Bachelors,51287,182,117,0,22,13,0,30,3,4,3,7
Married,51,3,Bachelors,13260,49,9,4,17,10,2,7,4,3,3,8
Married,55,3,Postgraduate,47472,75,56,0,11,0,0,8,2,2,4,5
Married,65,3,Postgraduate,54603,227,145,13,46,17,2,4,6,4,4,7
Married,47,3,Postgraduate,45207,215,203,0,10,0,0,2,5,3,6,6
Married,70,2,Bachelors,40689,444,270,3,27,39,6,99,7,7,5,8
Married,54,3,High School,47821,47,9,0,16,6,6,10,1,1,3,8
Married,70,1,Postgraduate,27450,143,37,12,23,8,11,52,1,2,3,7
Married,38,2,Bachelors,39453,55,46,0,7,0,0,2,2,2,3,6
Married,50,3,High School,26850,63,31,1,13,7,2,9,4,2,4,4
Single,66,0,Bachelors,79800,1867,1060,21,530,32,0,224,1,5,5,3
Married,60,2,Postgraduate,61794,611,264,47,188,54,47,11,2,4,10,2
Married,66,2,Bachelors,53863,473,399,4,30,6,4,30,3,7,7,7
Married,62,1,Bachelors,24221,55,8,9,9,2,5,22,1,1,3,4
Divorced_Widowed,37,1,Postgraduate,39684,81,19,0,35,6,4,17,2,2,2,7
Married,46,1,Postgraduate,92163,2086,817,183,797,106,163,20,0,5,5,2
Single,56,0,Postgraduate,69882,1478,292,127,635,132,127,165,1,3,9,1
Married,44,2,Bachelors,33178,49,12,6,2,11,2,16,1,1,3,4
Married,49,1,Postgraduate,59973,382,130,30,168,20,34,0,1,3,7,1
Married,46,2,Postgraduate,17459,69,6,4,16,3,10,30,3,3,2,7
Divorced_Widowed,52,1,Bachelors,23910,67,16,12,18,7,1,13,1,2,3,7
Married,52,3,Postgraduate,42169,30,19,0,9,0,0,2,2,1,3,8
Married,43,2,High School,26224,63,4,7,15,13,9,15,3,2,3,6
Married,40,2,Bachelors,31089,79,31,3,31,2,8,4,3,3,4,8
Divorced_Widowed,60,1,Bachelors,30081,42,36,0,2,0,0,4,1,1,3,7
Married,61,2,Bachelors,62807,819,526,28,135,10,21,99,3,5,12,5
Single,66,0,Bachelors,72906,1151,400,32,519,71,75,54,1,3,9,1
Married,73,3,Postgraduate,61467,594,410,16,114,0,5,49,3,5,10,5
Married,55,3,Postgraduate,49618,129,80,3,26,4,2,14,4,3,3,7
Divorced_Widowed,35,1,Postgraduate,21888,213,88,10,46,2,3,64,4,5,2,10
Divorced_Widowed,48,1,Bachelors,42429,67,55,0,6,2,0,4,2,1,3,5
Divorced_Widowed,65,3,Bachelors,26150,28,5,1,13,3,5,1,1,1,3,7
Married,46,2,High School,30801,45,8,4,5,15,2,11,2,1,3,7
Married,56,1,Bachelors,81168,1193,410,0,592,147,22,22,1,6,7,3
Single,52,0,Postgraduate,26877,268,101,13,76,20,18,40,2,3,6,6
Single,77,0,Postgraduate,45006,266,162,25,53,16,0,10,1,3,7,3
Married,48,2,High School,18978,37,2,8,1,4,7,15,1,1,3,8
Married,54,4,Bachelors,22574,37,25,0,8,2,0,2,2,2,3,7
Single,52,0,Postgraduate,48240,882,389,91,248,64,49,41,3,6,13,5
Married,47,3,Bachelors,45837,373,215,13,87,17,17,24,5,6,5,7
Divorced_Widowed,56,3,Postgraduate,35791,35,27,0,5,0,0,3,2,1,3,8
Divorced_Widowed,43,2,Bachelors,54162,42,5,6,10,6,5,10,1,1,3,4
Married,61,2,Postgraduate,30522,326,179,8,83,19,11,26,5,1,9,2
Married,60,2,Postgraduate,54456,404,352,0,27,10,0,15,3,6,7,6
Single,50,0,Bachelors,31632,95,17,8,12,11,15,32,1,2,2,7
Single,72,0,Bachelors,72298,939,625,35,169,58,17,35,1,4,6,1
Divorced_Widowed,43,1,High School,36975,33,10,6,11,0,4,2,1,1,3,7
Married,66,1,High School,72635,981,390,22,323,104,35,107,1,6,6,3
Married,45,2,Bachelors,13624,36,10,2,15,2,1,6,2,2,3,6
Divorced_Widowed,46,1,Bachelors,84196,1237,215,63,507,231,31,190,1,8,7,3
Married,61,2,Bachelors,70971,1825,1001,17,572,93,125,17,7,11,5,7
Divorced_Widowed,44,2,Postgraduate,34487,103,19,18,33,24,1,8,3,3,3,9
Divorced_Widowed,44,1,Bachelors,28769,191,41,5,129,10,3,3,3,4,4,9
Married,51,2,Postgraduate,69084,1586,1181,107,199,39,30,30,2,7,13,8
Married,63,1,Postgraduate,65488,963,603,45,207,36,18,54,1,3,6,1
Married,51,2,High School,62466,889,129,129,259,168,121,83,5,6,12,4
Single,61,0,High School,32218,93,10,24,15,13,1,30,1,2,3,7
Single,48,0,Bachelors,83917,1587,514,22,732,42,198,79,1,6,7,3
Divorced_Widowed,59,3,Bachelors,46102,16,14,0,1,0,0,1,1,1,2,7
Single,69,0,Bachelors,84574,1375,387,20,713,38,54,163,1,9,11,5
Married,59,2,Bachelors,56181,393,121,103,69,8,44,48,1,4,7,4
Divorced_Widowed,71,1,Postgraduate,63120,1477,965,69,279,54,41,69,5,8,9,7
Married,50,2,Bachelors,73691,1179,707,21,250,85,43,73,2,6,8,2
Married,61,2,Bachelors,63381,1005,571,50,142,33,50,159,4,4,13,2
Married,73,1,Postgraduate,76140,1348,586,66,653,17,0,26,1,5,6,2
Divorced_Widowed,62,1,Postgraduate,62859,1307,1063,89,102,16,12,25,4,9,6,6
Divorced_Widowed,57,1,Bachelors,45906,486,305,3,27,4,3,144,2,5,4,5
Married,74,1,Postgraduate,77632,2252,1200,105,758,0,42,147,1,4,6,2
Married,50,3,Postgraduate,46463,235,163,2,40,8,11,11,7,3,6,6
Married,51,1,Bachelors,105471,1724,1009,181,104,202,21,207,0,9,13,3
Divorced_Widowed,51,1,Postgraduate,55282,235,125,6,73,8,4,19,1,3,6,4
Married,44,2,Postgraduate,78710,1092,721,0,152,119,50,50,3,7,12,4
Married,63,2,Bachelors,66886,599,315,4,62,41,31,146,2,7,7,5
Single,61,0,Postgraduate,98777,2008,1000,19,711,125,115,38,0,4,9,1
Married,36,2,Bachelors,29103,48,16,0,17,6,3,6,2,1,3,9
Married,47,2,Bachelors,67445,1174,757,80,217,29,80,11,5,9,12,6
Married,71,2,Postgraduate,50616,67,30,2,25,0,1,9,1,1,4,2
Divorced_Widowed,66,1,Bachelors,49431,365,219,3,100,26,0,17,2,7,5,8
Married,68,2,Bachelors,61278,165,111,3,28,2,6,15,2,3,4,6
Married,63,1,High School,26490,210,45,47,52,21,20,25,2,3,5,6
Married,74,2,Postgraduate,73059,1095,410,112,420,0,82,71,1,9,13,4
Divorced_Widowed,55,3,Postgraduate,46734,223,100,1,39,6,1,76,4,3,3,6
Married,58,2,Bachelors,56253,597,509,0,65,7,11,5,4,7,9,6
Married,36,2,Bachelors,19986,22,3,6,5,0,2,6,1,0,3,7
Divorced_Widowed,46,1,Bachelors,58330,1064,445,53,213,104,98,151,1,6,13,4
Married,41,1,High School,25965,74,2,2,11,41,7,11,1,2,3,8
Married,65,1,Postgraduate,14661,26,4,1,11,6,2,2,1,1,3,6
Married,62,1,Bachelors,18690,60,6,1,7,23,4,19,1,1,2,8
Married,47,2,Postgraduate,45068,20,14,0,3,0,0,3,1,1,2,7
Divorced_Widowed,34,1,High School,21063,59,1,10,11,19,3,15,2,2,3,6
Married,53,2,Postgraduate,29187,34,26,0,6,0,0,2,1,1,3,8
Married,50,3,High School,54690,198,111,16,37,7,9,18,3,3,5,3
Married,57,2,Postgraduate,59304,1048,418,61,428,80,51,10,3,7,10,5
Divorced_Widowed,59,2,Postgraduate,59247,574,327,9,122,19,14,83,5,5,9,6
Divorced_Widowed,51,1,Bachelors,66731,1029,371,159,194,58,106,141,4,4,6,3
Married,41,2,Bachelors,77353,670,275,59,107,69,101,59,2,6,8,4
Divorced_Widowed,46,1,Postgraduate,52614,990,789,0,142,12,9,38,2,2,8,8
Married,47,3,Bachelors,26751,11,1,1,5,0,3,1,1,1,2,8
Married,58,2,Postgraduate,81300,1241,1004,12,145,32,12,36,3,10,5,5
Single,42,0,Bachelors,70337,576,187,81,149,25,43,91,1,2,12,1
Married,36,2,High School,36145,172,56,4,76,17,1,18,4,4,3,9
Single,41,0,Postgraduate,65295,664,365,32,117,34,110,6,1,3,13,2
Divorced_Widowed,58,1,Bachelors,68118,928,595,23,123,10,23,154,2,8,4,6
Single,54,0,Bachelors,68743,2074,1132,134,384,175,134,115,1,11,13,7
Married,39,1,High School,41039,467,34,11,137,179,61,45,1,8,5,8
Married,66,2,Bachelors,38946,257,116,6,82,6,6,41,2,3,6,5
Married,54,1,Bachelors,65777,1146,565,32,435,28,32,54,1,2,6,1
Divorced_Widowed,45,1,Postgraduate,66476,689,372,18,126,47,48,78,2,5,11,4
Single,49,0,Postgraduate,86857,2114,899,102,838,133,102,40,1,5,10,2
Married,32,1,Postgraduate,77845,1346,760,40,480,0,40,26,1,3,12,1
Married,52,1,Postgraduate,69476,1044,260,86,559,63,9,67,1,4,4,2
Divorced_Widowed,61,1,Postgraduate,50611,493,459,0,24,6,0,4,6,4,7,6
Single,51,0,Bachelors,61209,957,466,0,224,119,49,99,1,5,4,2
Married,63,2,Postgraduate,42315,270,67,15,80,17,11,80,3,1,4,3
Married,69,1,High School,13084,29,2,0,7,3,7,10,1,1,3,6
Divorced_Widowed,72,2,Postgraduate,47570,121,67,1,20,0,2,31,3,2,2,7
Married,60,3,Postgraduate,61923,126,92,4,18,3,3,6,1,2,4,3
Single,26,0,Bachelors,34824,23,4,2,11,2,0,4,1,1,2,6
Divorced_Widowed,72,2,Postgraduate,26518,57,20,1,28,3,3,2,3,2,3,8
Single,60,0,Bachelors,45938,636,273,11,178,62,83,29,2,8,6,6
Married,61,1,Bachelors,78468,1004,434,22,388,104,22,34,1,10,10,4
Divorced_Widowed,48,1,Bachelors,78901,734,321,11,309,33,26,34,3,9,5,4
Married,43,3,Bachelors,71427,614,212,123,177,15,64,23,2,8,8,4
Divorced_Widowed,43,1,Bachelors,71022,1453,909,12,278,0,12,242,3,5,11,8
Single,33,0,Postgraduate,90247,1621,1184,32,352,21,16,16,1,3,7,1
Divorced_Widowed,53,1,Postgraduate,41335,187,112,19,21,16,14,5,3,4,4,7
Married,35,2,Bachelors,71952,1443,656,80,455,52,107,93,2,8,8,4
Divorced_Widowed,51,1,Postgraduate,35682,57,23,0,8,6,2,18,1,1,3,2
Divorced_Widowed,70,1,Bachelors,43185,637,537,6,42,16,6,30,2,9,6,8
Married,73,2,Postgraduate,66375,948,712,0,45,0,0,191,3,2,5,7
Married,50,2,Postgraduate,35178,59,23,1,13,2,2,18,1,1,2,7
Married,35,2,Bachelors,25252,18,1,3,4,2,2,6,1,1,2,8
